municipio,barrio,actividad_principal,codigo_ciiu,clasificación_de_la_empresa,sector_económico,nombre_cargo,numero_de_vacantes,numero_días_a_laborar_por_semana,salario_honorarios,tipo_de_contrato,duración_contrato_(meses),discapacidad,rango_edad,sexo,nivel_educativo,título,nivel_educativo_finalizado,capacitación_específica,manejo_programas_informáticos,programas_informáticos,años_de_experiencia_requerida,disponibilidad_fuera_ciudad,requiere_vehiculo,vehiculo,categoria,visa_pasaporte,idiomas
itagui,no dato,no dato,no dato,no dato,no dato,oficios varios,2,6,689455,termino indefinido,6,no dato,entre 18 y 37,masculino,secundaria (6° - 9°),no requiere,no,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,mecanico industrial – tornero,3,6,850,termino indefinido,6,no dato,entre 18 y 37,masculino,técnico,mecanico industrial,si,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,oficios varios,2,6,781242,termino indefinido,6,no dato,entre 18 y 37,masculino,secundaria (6° - 9°),no aplica,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,mensajero domiciliario con moto,20,6,644350,termino indefinido,6,no dato,mayor o igual que 19,masculino,secundaria (6° - 9°),secundaria,no,conociminetos en nomenclatura,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,mensajero domiciliario con moto,20,6,781242,termino indefinido,6,no dato,mayor o igual que 19,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,no,si,moto,a2,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,operario de produccion,1,6,781242,termino fijo,4,no dato,entre 20 y 40,masculino,media (10° - 13°),bachiller,si,manipulacion de alimentos,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,lavador oficios varios,1,6,689454,termino fijo,3,no dato,entre 18 y 60,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,no,no,no aplica,b1,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,lider de calidad,1,6,1600000,termino indefinido,6,no dato,entre 25 y 40,indiferente,profesional,ingeniero en productividad y calidad,si,conocimiento en sgc,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,auxiliar de bodega,2,6,737717,termino fijo,4,no dato,entre 25 y 35,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,auxiliar de bodega,2,6,737717,termino fijo,4,no dato,entre 25 y 35,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,lider de sistemas informáticos e infraestructura,1,6,1400000,termino fijo,4,no dato,entre 25 y 45,indiferente,tecnologico,sistemas,si,no aplica,no,no aplica,12 meses,si,no,no aplica,no aplica,no,no dato
itagui,no dato,no dato,no dato,no dato,no dato,asesor comercial,1,6,616000-1232000,termino fijo,4,fisica: disfonia muscular,entre 25 y 45,indiferente,media (10° - 13°),bachiller academico,si,no aplica,si,herramientas informaticas,24 meses,si,no,no aplica,no aplica,no,no dato
la ceja,no dato,no dato,no dato,no dato,no dato,auxiliar de despachos,1,6,689455,termino fijo,11,no dato,mayor o igual que 18,masculino,secundaria (6° - 9°),no aplica,no,despachos /logistica,si,word/ excel almenos lo basico,12 meses,no,no,no aplica,no aplica,no,no dato
la ceja,no dato,no dato,no dato,no dato,no dato,oficial de construccion,4,6,1200000,obra o labor,3,no dato,entre 18 y 55,masculino,primaria (1° - 5°),.,si,certificado en alturas,no,no aplica,2 años,si,no,no aplica,no aplica,no,no dato
la ceja,no dato,no dato,no dato,no dato,no dato,ayudante de construccion,4,6,644350,obra o labor,3,no dato,mayor o igual que 18,masculino,primaria (1° - 5°),.,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mecanico de moldes,2,6,1378000,termino fijo,12,no dato,entre 30 y 40,masculino,técnico,mecanico industrial,si,no aplica,si,office,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mecanico de moldes,2,6,1378000,termino fijo,12,no dato,entre 30 y 40,masculino,técnico,mecanico industrial,si,no aplica,si,office,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario maquina extructora,1,6,689455,termino fijo,12,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller academico,si,no aplica,no,no aplica,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario de  maquina serigrafica,1,6,689455,termino fijo,12,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller academico,si,no aplica,no,no aplica,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mecanico de moldes,2,6,1378000,termino fijo,12,no dato,entre 30 y 40,masculino,técnico,mecanico industrial,si,no aplica,si,office,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,analista de picking,1,5,750000,termino fijo,3,no dato,entre 25 y 40,indiferente,tecnologico,tecnologo en logistica,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,residente socio ambiental,1,6,1800000,obra o labor,6,no dato,mayor o igual que 18,indiferente,tecnologico,socio ambiental,si,no aplica,no,no aplica,3 meses,si,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,contadora,1,5,1800000,termino indefinido,6,no dato,mayor o igual que 25,femenino,profesional,contador,si,sag,si,sag,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mensajero,1,5,789454,termino indefinido,6,no dato,mayor o igual que 30,masculino,media (10° - 13°),no,no,no aplica,no,no aplica,0,no,no,no aplica,a1,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,recepción y archivo,1,5,889454,termino indefinido,6,no dato,mayor o igual que 20,femenino,tecnologico,archivo,si,archivo,si,oficce,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mensajero,1,5,789445,termino indefinido,6,no dato,mayor o igual que 27,masculino,media (10° - 13°),bachiller academico,si,no aplica,no,no aplica,4 años,no,no,no aplica,b2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar administrativa,1,5,889445,termino indefinido,6,no dato,mayor o igual que 27,femenino,técnico,administratrivo o afines,si,salud ocupacional,si,office,5 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mensajero,1,5,789000,termino indefinido,6,no dato,entre 25 y 45,masculino,media (10° - 13°),no,no,no aplica,no,no aplica,5 años,no,no,no aplica,a1,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario de producción,3,6,644350,termino fijo,6,no dato,entre 18 y 30,masculino,media (10° - 13°),bachiller,si,curso de manipulación de alimentos,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de logistica,1,6,720000,termino fijo,6,no dato,entre 20 y 30,masculino,secundaria (6° - 9°),bachiller,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,analista nomina,1,6,1000000,termino fijo,3,no dato,entre 25 y 35,femenino,técnico,"tecnico o tecnologo en contabilidad, gestion humana, nomina.",si,nomina y prestaciones sociales,si,"office basico, navegador.",12 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario,2,5,800000,termino fijo,3,no dato,entre 18 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,si,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario-ayudante de planta,2,6,881000,termino fijo,3,no dato,entre 25 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,director de operaciones,1,5,2500000,termino indefinido,6,no dato,entre 30 y 40,indiferente,profesional,"industrial, produccion",si,no aplica,no,no aplica,36 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de producción,2,6,648,termino indefinido,6,no dato,entre 25 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,5 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mercaderista impulsadora,3,6,648,termino indefinido,6,no dato,entre 20 y 40,femenino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,5 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,docente educacion infantil,1,5,1953549,termino fijo,11,no dato,mayor o igual que 18,indiferente,profesional,licenciado en educacion infantil,si,educacion especial,si,office,2 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,docente de lengua castellana y literatura,1,5,1953500,termino indefinido,6,no dato,entre 25 y 40,femenino,profesional,profesional en lengua castellana,si,no aplica,si,microsoft office,2 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asistente administrativo de compras,1,5,850000,termino indefinido,6,fisica: amiotrofia espinal,mayor o igual que 18,indiferente,técnico,contabilidad,si,no aplica,si,office,12 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,mecánico automotriz,1,6,1100000,termino indefinido,6,fisica: amiotrofia espinal,mayor o igual que 18,masculino,técnico,mecánica automotriz,si,motores diesel – lubricacion – inspeccion – refrigeracion.,no,no aplica,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asistente administrativo compras,1,5,850000,termino fijo,4,fisica: amiotrofia espinal,mayor o igual que 18,indiferente,técnico,contabilidad,si,no aplica,si,office,12 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operador mini cargador,1,6,1200000,termino fijo,4,fisica: amiotrofia espinal,mayor o igual que 18,masculino,técnico,manejo de maquinaria pesada,si,no aplica,no,no aplica,3 años,si,no,no aplica,c2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,ayudante de señalización,1,6,900000,termino fijo,4,fisica: amiotrofia espinal,mayor o igual que 18,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,3 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar administrativo,2,6,900000,termino indefinido,6,no dato,entre 25 y 45,femenino,técnico,tecnico administrativo,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de producción,6,6,644350,termino indefinido,6,no dato,entre 26 y 50,masculino,secundaria (6° - 9°),secundaria,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,ingeniero industrial,2,6,1232001-1848000,termino indefinido,6,no dato,entre 27 y 50,masculino,tecnologico,tecnologo en producción o industrial,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de produccion,8,6,644350,termino fijo,3,no dato,entre 27 y 53,masculino,primaria (1° - 5°),primaria,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,coordinador de calidad,1,6,800000,termino fijo,6,no dato,entre 25 y 35,indiferente,técnico,tecnico de calidad,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de producción,5,6,644350,termino indefinido,6,no dato,entre 26 y 50,masculino,media (10° - 13°),bachiller,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de bodega,5,6,689450,termino fijo,3,no dato,entre 18 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,si,office basico,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar del punto de venta,10,6,689450,termino fijo,3,no dato,entre 18 y 40,indiferente,media (10° - 13°),bachiller,si,no aplica,si,office basico,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,administrador de punto de venta,2,6,1048600,termino fijo,3,no dato,entre 25 y 40,indiferente,técnico,administracion de empresas,si,no aplica,si,"office basico, internet, software siesa",12 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,domiciliario,1,6,700000,termino fijo,3,no dato,entre 25 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,domiciliario,2,6,689455,termino fijo,3,no dato,entre 25 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,a2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,jefe de contabilidad,1,6,1960000,termino fijo,3,no dato,entre 25 y 35,indiferente,profesional,contador público,si,no aplica,si,"office avanzado, siesa",2 años,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar contable,1,6,1000000,termino indefinido,6,no dato,entre 25 y 40,femenino,tecnologico,"tecnología contable, administrativa",si,no aplica,si,conocimiento en paquetes contables preferiblemente a2,24 meses,si,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar administrativa,1,6,900000,termino fijo,3,no dato,entre 20 y 28,femenino,técnico,auxiliar administrativa,si,no aplica,si,office,1 año,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,conductor,1,6,900000,termino fijo,3,no dato,entre 25 y 35,masculino,media (10° - 13°),bachiller académico,si,no aplica,si,office,1 año,no,no,no aplica,c2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,coordinador de recertificación,1,6,1200000,termino fijo,3,no dato,mayor o igual que 22,masculino,profesional,ingeniero en higiene y segirudad ocupacional,si,no aplica,si,herramientas ofimáticas,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,auxiliar de montaje,1,6,800000,termino fijo,3,no dato,entre 20 y 28,masculino,media (10° - 13°),bachiller académico,si,coordinador trabajo seguro en alturas,si,herramientas ofimáticas,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,soldador supernumerario taller y campo,2,6,800000,obra o labor,5,no dato,entre 20 y 28,masculino,media (10° - 13°),bachiller académico,si,no aplica,si,office,6 meses,si,no,no aplica,c2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asesora comercial sst,1,6,1200000,termino fijo,3,no dato,entre 20 y 28,femenino,tecnologico,tecnólogo sst,si,no aplica,si,herramientas ofimáticas,6 meses,si,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,entrenado salud ocupacional código,2,6,1500000,termino fijo,3,no dato,entre 20 y 28,masculino,tecnologico,técnólogo seguridad industrial y salud ocupacional,si,curso de alturas. entrenador sena,si,herramientas ofimáticas,6 meses,si,no,no aplica,c2,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asistente tecnico,1,6,2800000,termino fijo,12,no dato,menor o igual que 52,indiferente,profesional,quimico farmaceutico- ingeniero quimico -quimico,si,industria farmaceutica,si,officce,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario de produccion empresas quimica,5,6,800000,termino fijo,12,no dato,menor o igual que 50,indiferente,media (10° - 13°),bachiller,si,manipulacion de productos quimicos,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asistente tecnico,1,6,2800000,termino fijo,12,no dato,menor o igual que 52,indiferente,profesional,quimico farmaceutico- ingeniero quimico -quimico,si,industria farmaceutica,si,officce,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario de planta,1,6,737717,termino fijo,3,no dato,entre 18 y 38,masculino,media (10° - 13°),bachiller,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,ayudante intalacion de estructuras,4,6,64435,termino fijo,6,no dato,entre 20 y 35,masculino,ninguno,no aplica,no,alturas,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,asistente administrativo,1,6,1000000,termino fijo,6,no dato,mayor o igual que 18,indiferente,técnico,tecnico administrativo,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,limpiador de mantenimiento,3,6,820304,termino fijo,12,auditiva: hipoacusia,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,operario de lavanderia,1,6,781242,termino indefinido,6,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
la estrella,no dato,no dato,no dato,no dato,no dato,conductor,1,6,1000000,termino fijo,12,no dato,entre 20 y 45,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,3 años,no,no,no aplica,c2,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,asesor comercial punto de venta,2,6,781242,termino indefinido,6,no dato,entre 20 y 35,masculino,media (10° - 13°),bachiller academico,si,no aplica,si,oficce,18 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante en administración documental,1,6,781242,aprendizaje,6,no dato,mayor o igual que 18,femenino,técnico,técnico en archivo,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante de seguridad y salud en el trabajo,1,6,781242,aprendizaje,6,no dato,mayor o igual que 18,femenino,técnico,técnico en seguridad y salud en el trabajo,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,asistente comercial y mercadeo,1,6,1000000,termino fijo,3,no dato,mayor o igual que 18,indiferente,técnico,técnico en mercadeo,si,no aplica,si,herramientas ofimáticas,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante en mercadeo,1,6,781242,aprendizaje,6,no dato,mayor o igual que 18,femenino,técnico,técnico en mercadeo,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,analista de cotizaciones,1,6,1000000,termino fijo,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en costos,si,no aplica,si,herramientas ofimáticas,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante mercadeo,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,tecnologico,tecnólogo en mercadeo,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante desarrollo de empaques y productos,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,tecnologico,tecnólogo en desarrollo de producto,no,no aplica,si,"rhino, 3dmax",0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante calidad,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en productividad y calidad,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante auxiliar administrativo,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en salud ocupacional,no,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante en salud ocupacional,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en salud ocupacional,no,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante calidad,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en productividad y calidad,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,practicante mercadeo,1,6,828116,aprendizaje,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en mercadeo,no,no aplica,si,herramientas ofimáticas,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,conductor – repartidor,2,6,870000,termino indefinido,6,no dato,entre 20 y 50,masculino,primaria (1° - 5°),primaria,no,no aplica,no,no aplica,1 año,no,no,no aplica,b1,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,auxiliar de logistica,1,6,960000,obra o labor,12,no dato,entre 24 y 40,masculino,técnico,tecnico en logistica,si,no aplica,si,office,2 años,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,digitador,1,5,644350,obra o labor,6,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller academico,si,no aplica,si,"excell, word, correo electronico",0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,steward,1,6,782000,termino indefinido,6,no dato,mayor o igual que 30,masculino,ninguno,na,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,cocinera(o),1,6,64435,termino fijo,3,no dato,mayor o igual que 25,indiferente,media (10° - 13°),bachiller,si,manipulación de alimentos,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,cosmetologa masoterapeuta,1,6,1000000,termino fijo,4,no dato,entre 18 y 48,masculino,técnico,tecnico profesional en electricidad o areas a fines,si,curso trabajo en alturas,si,oficce basico,12 meses,si,no,no aplica,no aplica,no,ingles
medellin,no dato,no dato,no dato,no dato,no dato,antropólogo,1,5,1232001-1848000,prestación de servicios,3,no dato,mayor o igual que 18,indiferente,profesional,antropólogo,si,no aplica,si,office,1 año,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,sociólogo,1,5,1232001-1848000,prestación de servicios,3,no dato,mayor o igual que 18,indiferente,profesional,sociólogo,si,no aplica,si,office,1 año,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,auxiliar de servicios domesticos (residente),1,6,781242,termino indefinido,6,no dato,mayor o igual que 18,indiferente,ninguno,-,si,mantenimiento en piscinas,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,conductor,1,6,900000,termino fijo,3,no dato,entre 25 y 40,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,2 años,no,no,no aplica,"b1,b2,c1,c2",no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,operario de muestras,1,6,689455,obra o labor,3,no dato,entre 18 y 50,indiferente,primaria (1° - 5°),basica primaria,si,aseo hospitalario,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,vendedor,1,6,900000,obra o labor,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,ayudante de cocina,1,6,900000,obra o labor,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,no,manipulacion de alementos,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,cajera,1,6,737717,obra o labor,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,si,office,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,atencion al cliente,2,6,737717,termino fijo,10,no dato,mayor o igual que 20,femenino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,cajera,1,6,737717,obra o labor,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,si,office,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,auxiliar de costos,1,6,781242,termino indefinido,6,no dato,entre 20 y 45,masculino,técnico,auxiliar de costos,si,no aplica,si,suite ofimatica office,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,técnico comercial,1,6,800000,termino fijo,3,no dato,entre 20 y 40,masculino,técnico,técnica en comercial,si,no aplica,si,office,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,asesor comercial,1,6,828116,termino fijo,12,no dato,menor o igual que 46,indiferente,media (10° - 13°),media,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,domiciliario y pizzero,1,6,689454,termino indefinido,6,no dato,entre 25 y 35,masculino,secundaria (6° - 9°),ninguno,no,no aplica,no,no aplica,0,no,si,moto,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,vendedor / conductor,2,6,800000,termino fijo,6,no dato,entre 19 y 40,masculino,media (10° - 13°),bachiller,no,no aplica,no,no aplica,0,no,no,no aplica,b1,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,mensajero,1,6,737717,termino fijo,11,no dato,entre 20 y 50,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,1 año,no,no,no aplica,c1,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,panadero,1,6,900000,termino fijo,11,no dato,entre 20 y 50,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,coordinador de empaque y despachos,4,6,616000-1232000,termino fijo,3,no dato,entre 18 y 48,indiferente,tecnica,tecnica,si,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,mensajero vendedor,1,6,828116,termino fijo,3,no dato,entre 18 y 48,masculino,ninguno,ninguno,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,panadero,1,6,616000-1232000,termino fijo,3,no dato,entre 18 y 48,indiferente,ninguno,ninguno,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,vendedor / conductor,2,6,616000-1232000,termino fijo,3,no dato,entre 18 y 48,masculino,media (10° - 13°),bachiller,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,no dato,no dato,no dato,no dato,no dato,operario de producción,1,6,900000,termino fijo,3,no dato,entre 24 y 40,masculino,media (10° - 13°),bachiller academico,si,instalacion de domos,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
